,Skills,Sub-skills,Goals,stage-1,stage-2,stage-3,stage-4,stage-5,stage-6
,,,,,,,Develop writing for a purpose using language and features appropriate for a range of text types.,"When writing non-fiction texts, present and justify a consistent viewpoint.","Write balanced arguments, developing points logically and convincingly."
,,,,,,,"Develop writing of a range of text types for a specified audience, using appropriate content and language.",,
,,,,,,,Adopt a viewpoint in non-fiction writing that is appropriate for the purpose and audience.,,
,,,Presentation and reflection Learners develop skills in choosing and using appropriate ways to present different texts; they reflect on and evaluate their own and others' writing.,Develop a comfortable and efficient pencil grip.,"Ensure consistency in formation, size and proportion of letters and the spacing of words.",Begin to write legibly and fluently.,"Write legibly, fluently and with increasing speed.","Write legibly and fluently for different purposes, including choosing the writing implement that is best suited for a task.","Develop a personal handwriting style to write legibly, fluently and with appropriate speed."
,,,,Form lower-case and upper-case letters correctly.,Know how to join letters and which letters are best left unjoined.,Complete a table or diagram to record information drawn from a text.,Make short notes to record information from a text and use them to inform writing.,"Explore and use different ways of making notes (e.g. bulleted lists, mind maps) and use them to inform writing.",Begin to decide when it is helpful to take notes and how to record them.
,,,,"Join some letters, including to support use of multi-letter graphemes.","Record key information drawn from a non-fiction text, e.g. listing key topic words.","Explore and use different ways of laying out and presenting texts to suit the purpose and audience (handwritten, printed and onscreen).","Explore and use different ways of laying out and presenting texts to suit the purpose and audience (handwritten, printed and onscreen).","Begin to choose appropriate ways to lay out and present texts to suit the purpose and audience (handwritten, printed and onscreen).","Begin to choose appropriate ways to lay out and present texts to suit the purpose and audience (handwritten, printed and onscreen)."
,,,,"Record answers to simple questions about texts, e.g. in lists.","Present text in a range of different ways, e.g. diagrams with typed labels, storyboards with handwritten captions.","Evaluate own and others’ writing, suggesting improvements for sense, accuracy and content.","Evaluate own and others' writing, suggesting improvements for sense, accuracy and content.","Evaluate own and others' writing, suggesting improvements for sense, accuracy and content, including to enhance the effect.","Evaluate own and others' writing, suggesting improvements for sense, accuracy and content, including to enhance the effect."
,,,,"Present text in a range of different ways, e.g. diagrams with typed labels, storyboards with handwritten captions.",Read own writing to others and share ideas for improvements.,"Proofread for grammar, spelling and punctuation errors, and make corrections, including using on-screen tools.","Proofread for grammar, spelling and punctuation errors, and make corrections, including using on-screen tools.","Proofread for grammar, spelling and punctuation errors, and make corrections, including using on-screen tools.","Proofread for grammar, spelling and punctuation errors, and make corrections, including using on-screen tools."
,,,,Read own writing aloud and talk about it.,"Begin to proofread for errors by re-reading own writing aloud (e.g. sentence punctuation, verb forms).",,,,
,,Speaking and Listening ,Making yourself understood Learners develop oral skills in presenting information clearly; they organise and adapt their talk for different purposes and audiences.,Speak audibly and clearly with familiar people.,Speak clearly and confidently with familiar people.,Speak fluently and confidently in a range of familiar contexts.,Speak with accuracy and sometimes at length in a range of familiar contexts.,"Speak precisely either with concision or at length, as appropriate to context.",Adapt pace and tone of speech appropriately in formal and informal contexts.
,,,,"Provide relevant information, as needed.","Provide relevant information with sufficient detail, as needed.","Select appropriate information, with appropriate detail, as needed.",Sequence relevant information to aid the listener's understanding.,Structure relevant information in a way that supports the purpose and aids the listener's understanding.,Structure information to aid the listener's understanding of the main and subsidiary points.
,,,,Use some relevant vocabulary to describe events and feelings.,Use relevant vocabulary to describe events and feelings.,Use vocabulary appropriate to the situation.,Use vocabulary precisely to make the meaning clear.,"Use language to convey ideas and opinions, with some detail.","Use language to convey ideas and opinions, with increasing clarity and detail."
,,,,Show some use of non-verbal communication techniques.,Show some use of non-verbal communication techniques.,Use non-verbal communication techniques for different purposes.,Use non-verbal communication techniques for different purposes.,Adapt non-verbal communication techniques for different purposes and contexts.,Adapt non-verbal communication techniques for different purposes and contexts.
,,,,"Show some awareness of the listener, e.g. by varying tone to engage them, by responding to their non-verbal cues.","Show some awareness of the listener, e.g. by varying tone to engage them, by responding to their non-verbal cues.","Show awareness of an audience, e.g. by adapting language and tone to engage them.","Show awareness of an audience, e.g. by adapting language and tone to engage them.","Show awareness of different audiences, e.g. by using the appropriate register.","Show awareness of different audiences, e.g. by using the appropriate register."
,,,Showing understanding Learners develop skills in listening and responding to others.,"Listen and respond appropriately, including following a sequence of simple instructions.","Listen and respond appropriately, including recalling the main points.","Listen and respond appropriately, including following a sequence of instructions to carry out an activity.","Listen and respond appropriately, including asking and answering questions to develop ideas.","Listen, reflect on what is heard and give a reasoned response.","Listen, reflect on what is heard and give a reasoned response with reference to at least one specific point made by the speaker."
,,,,Ask simple questions about what is heard or read.,Ask questions about what is heard or read to improve understanding.,Ask questions about what is heard or read that demonstrate understanding of the main points.,,,
,,,Group work and discussion Learners develop skills in collaborating and communicating within a group.,Work with others in a group.,Work with others in a group.,Begin to take an assigned role within a group.,Begin to take an assigned role within a group.,"Take different assigned roles within groups, and begin to assign roles within a group.","Take different assigned roles within groups, and begin to assign roles within a group."
,,,,Show understanding of the opinions of others.,Show understanding of the opinions of others.,Respond politely to another point of view with a personal point of view.,Respond politely to another point of view with a personal point of view.,Show consideration of another point of view.,Show consideration of another point of view.
,,,,"During a discussion, listen to others without interrupting.","During a discussion, respond in a way that is relevant to the task.",Extend a discussion by contributing relevant comments.,Extend a discussion by contributing relevant comments and questions.,Extend a discussion by asking and answering questions to refine ideas.,Extend a discussion by building on own and other's ideas.
,,,,"Take turns in speaking, expressing own feelings and ideas.","Take turns in speaking, adding relevant information.","Take turns in a discussion, acknowledging what others have said.","Take turns in a discussion, making links with what others have said.","Take turns in a discussion, building on what others have said.",Encourage others to take turns in a discussion.
,,,"Performance Learners develop confidence and proficiency in reading aloud, performing drama and giving presentations to an audience.",Re-read sentences aloud with some fluency and expression.,Read familiar stories and poems aloud with fluency and expression.,Read aloud with expression appropriate to the meaning and sound of the words.,"Read aloud with expression, adapting the pace and volume appropriate to the content.","Read aloud with accuracy, and increasing confidence and style.","Read aloud with accuracy, and increasing confidence and style."
,,,,"Recite simple poems, showing awareness of rhythm.",Show awareness of speech marks when reading aloud.,Show awareness of different voices when reading aloud.,"Read aloud with accuracy and fluency, showing awareness of punctuation.","Convey ideas about characters in drama through deliberate choice of speech, gesture and movement.","Convey ideas about characters in drama in different roles and scenarios through deliberate choice of speech, gesture and movement."
,,,,Pause at full stops when reading aloud.,Extend experiences and ideas about characters and situations through role-play.,Use knowledge of punctuation and grammar to read familiar texts with accuracy.,"Adapt speech, gesture and movement to portray a character in drama.","Plan and deliver independent and group presentations confidently to a range of audiences, adapting presentations appropriately to the audience.","Plan and deliver independent and group presentations confidently to a range of audiences, adapting presentations appropriately to the audience."
,,,,"Engage in imaginative play, enacting simple characters or situations.",Deliver a short presentation in a familiar context about a chosen object or event.,"Use speech, gesture and movement to create a character in drama.","Plan and deliver a group presentation on a familiar subject, including to a wider audience.",Begin to make choices about the most appropriate media for a particular presentation.,Begin to make choices about the most appropriate media for a particular presentation.
,,,,Make a simple personal statement in a familiar context.,,Plan and deliver a presentation independently on a familiar subject in a familiar context.,,,
,,,"Reflection and evaluation Learners develop skills in talking about talk, and in evaluating their own and others' performances.","Talk about own activities, including what they enjoyed.","Talk about own activities, including why they made particular choices.","Begin to evaluate own and others' talk, including what went well and what could be improved next time.","Begin to evaluate own and others' talk, including what went well and what could be improved next time.","Evaluate own and others' talk, including what went well and what could be improved next time.",Reflection and evaluation
,,,,Suggest how someone's non-verbal communication reflects their feelings.,"Talk about others' presentations, including what they enjoyed and why.",Begin to comment on the ways that meaning can be expressed verbally and non-verbally in different contexts.,Comment on the ways that meaning can be expressed verbally and non-verbally in different contexts.,Comment on how and why communication varies in different contexts.,"Evaluate own and others' talk, including what went well and what could be improved next time."
,,,,,Identify whether someone's non-verbal communication matches their verbal communication.,,,,"Begin to explain variations in communication, including register."
,,,,,,,,,
,Mathematics,Number,Counting and sequences,"Count objects from 0 to 20 , recognising conservation of number and one-to-one correspondence.",Count objects from 0 to 100.,Estimate the number of objects or people (up to 1000).,"Count on and count back in steps of constant size: 1-digit numbers, tens, hundreds or thousands, starting from any number, and extending beyond zero to include negative numbers.","Count on and count back in steps of constant size, and extend beyond zero to include negative numbers.","Count on and count back in steps of constant size, including fractions and decimals, and extend beyond zero to include negative numbers."
,,,,"Recognise the number of objects presented in familiar patterns up to 10, without counting.","Recognise the number of objects presented in unfamiliar patterns up to 10, without counting.","Count on and count back in steps of constant size: 1-digit numbers, tens or hundreds, starting from any number (from 0 to 1000).",Recognise and explain generalisations when adding and subtracting combinations of even and odd numbers.,"Recognise the use of objects, shapes or symbols to represent two unknown quantities in addition and subtraction calculations.",Recognise the use of letters to represent quantities that vary in addition and subtraction calculations.
,,,,"Estimate the number of objects or people (up to 20), and check by counting.",Estimate the number of objects or people (up to 100).,Use knowledge of even and odd numbers up to 10 to recognise and sort numbers.,"Recognise the use of objects, shapes or symbols to represent unknown quantities in addition and subtraction calculations.",Use the relationship between repeated addition of a constant and multiplication to find any term of a linear sequence.,Use the relationship between repeated addition of a constant and multiplication to find and use a position-to-term rule.
,,,,"Count on in ones, twos or tens, and count back in ones and tens, starting from any number (from 0 to 20).","Count on and count back in ones, twos, fives or tens, starting from any number (from 0 to 100).",Recognise the use of an object to represent an unknown quantity in addition and subtraction calculations.,"Recognise and extend linear and non-linear sequences, and describe the term-to-term rule.",Recognise and extend the spatial pattern of square and triangular numbers.,"Use knowledge of square numbers to generate terms in a sequence, given its position."
,,,,Understand even and odd numbers as 'every other number' when counting (from 0 to 20).,Recognise the characteristics of even and odd numbers (from 0 to 100).,"Recognise and extend linear sequences, and describe the term-to-term rule.",Recognise and extend the spatial pattern of square numbers.,,
,,,,Use familiar language to describe sequences of objects.,"Recognise, describe and extend numerical sequences (from 0 to 100).",Extend spatial patterns formed from adding and subtracting a constant.,,,
,,,Integers and Powers,"Recite, read and write number names and whole numbers (from 0 to 20).","Recite, read and write number names and whole numbers (from 0 to 100).","Recite, read and write number names and whole numbers (from 0 to 1000).",Read and write number names and whole numbers greater than 1000 and less than 0.,"Estimate, add and subtract integers, including where one integer is negative.","Estimate, add and subtract integers."
,,,,Understand addition as: a)counting on b) combining two sets.,Understand and explain the relationship between addition and subtraction.,"Understand the commutative and associative properties of addition, and use these to simplify calculations.","Estimate, add and subtract whole numbers with up to three digits.",Understand which law of arithmetic to apply to simplify calculations.,Use knowledge of laws of arithmetic and order of operations to simplify calculations.
,,,,Understand subtraction as: a) counting back b) take away c) difference.,Recognise complements of 20 and complements of multiples of 10 (up to 100).,Recognise complements of 100 and complements of multiples of 10 or 100 (up to 1000).,"Understand the associative property of multiplication, and use this to simplify calculations.",Understand that the four operations follow a particular order.,Understand that brackets can be used to alter the order of operations.
,,,,Recognise complements of 10.,"Estimate, add and subtract whole numbers with up to two digits (no regrouping of ones or tens).","Estimate, add and subtract whole numbers with up to three digits (regrouping of ones or tens).",Know all times tables from 1 to 10.,Estimate and multiply whole numbers up to 1000 by 1-digit or 2-digit whole numbers.,Estimate and multiply whole numbers up to 10000 by 1-digit or 2-digit whole numbers.
,,,,"Estimate, add and subtract whole numbers (where the answer is from 0 to 20).",Understand multiplication as: repeated addition; an array.,Understand and explain the relationship between multiplication and division.,Estimate and multiply whole numbers up to 1000 by 1-digit whole numbers.,Estimate and divide whole numbers up to 1000 by 1-digit whole numbers.,Estimate and divide whole numbers up to 1000 by 1-digit or 2-digit whole numbers.
,,,,Know doubles up to double 10.,"Understand division as: sharing (number of items per group), grouping (number of groups).","Understand and explain the commutative and distributive properties of multiplication, and use these to simplify calculations.",Estimate and divide whole numbers up to 100 by 1-digit whole numbers.,Understand and explain the difference between prime and composite numbers.,Understand common multiples and common factors.
,,,,,"Know 1, 2, 5 and 10 times tables.","Know 1, 2, 3, 4, 5, 6, 8, 9 and 10 times tables.",Understand the relationship between multiples and factors.,Use knowledge of factors and multiples to understand tests of divisibility by 4 and 8.,"Use knowledge of factors and multiples to understand tests of divisibility by 3, 6 and 9."
,,,,,,"Estimate and multiply whole numbers up to 100 by 2, 3, 4 and 5.","Use knowledge of factors and multiples to understand tests of divisibility by 2, 5, 10, 25, 50 and 100.",Use knowledge of multiplication to recognise square numbers (from 1 to 100).,Use knowledge of multiplication and square numbers to recognise cube numbers (from 1 to 125).
,,,,,,"Estimate and divide whole numbers up to 100 by 2, 3, 4 and 5.",,,
,,,,,,"Recognise multiples of 2, 5 and 10 (up to 1000).",,,
,,,Money,Recognise money used in local currency.,Recognise value and money notation used in local currency.,Interpret money notation for currencies that use a decimal point.,,,
,,,,,Compare values of different combinations of coins or notes.,Add and subtract amounts of money to give change.,,,
,,,"Place value, ordering and rounding",Understand that zero represents none of something.,"Understand and explain that the value of each digit in a 2-digit number is determined by its position in that number, recognising zero as a place holder.",Understand and explain that the value of each digit is determined by its position in that number (up to 3-digit numbers).,Understand and explain that the value of each digit in numbers is determined by its position in that number.,Understand and explain the value of each digit in decimals (tenths and hundredths).,"Understand and explain the value of each digit in decimals (tenths, hundredths and thousandths)."
,,,,"Compose, decompose and regroup numbers from 10 to 20.","Compose, decompose and regroup 2-digit numbers, using tens and ones.",Use knowledge of place value to multiply whole numbers by 10.,Use knowledge of place value to multiply and divide whole numbers by 10 and 100.,"Use knowledge of place value to multiply and divide whole numbers by 10, 100 and 1000.","Use knowledge of place value to multiply and divide whole numbers and decimals by 10, 100 and 1000."
,,,,Understand the relative size of quantities to compare and order numbers from 0 to 20.,Understand the relative size of quantities to compare and order 2-digit numbers.,"Compose, decompose and regroup 3-digit numbers, using hundreds, tens and ones.","Compose, decompose and regroup whole numbers.",Use knowledge of place value to multiply and divide decimals by 10 and 100.,"Compose, decompose and regroup numbers, including decimals (tenths, hundredths and thousandths)."
,,,,Recognise and use ordinal numbers from 1st to 10th.,Recognise and use ordinal numbers.,"Understand the relative size of quantities to compare and order 3-digit positive numbers, using the symbols =, > and <.","Understand the relative size of quantities to compare and order positive and negative numbers, using the symbols =, > and <.","Compose, decompose and regroup numbers, including decimals (tenths and hundredths).",Round numbers with two decimal places to the nearest tenth or whole number.
,,,,,Round 2-digit numbers to the nearest 10.,Round 3-digit numbers to the nearest 10 or 100.,"Round numbers to the nearest 10, 100, 1000, 10000 or 100000.",Round numbers with one decimal place to the nearest whole number.,
,,,"Fractions, decimals, percentages, ratio and proportion",Understand that an object or shape can be split into two equal parts or two unequal parts.,Understand that an object or shape can be split into four equal parts or four unequal parts.,"Understand and explain that fractions are several equal parts of an object or shape and all the parts, taken together, equal one whole.","Understand that the more parts a whole is divided into, the smaller the parts become.","Understand that a fraction can be represented as a division of the numerator by the denominator (unit fractions, three-quarters, tenths and hundredths).",Understand that a fraction can be represented as a division of the numerator by the denominator (proper and improper fractions).
,,,,Understand that a half can describe one of two equal parts of a quantity or set of objects.,Understand that a quarter can describe one of four equal parts of a quantity or set of objects.,"Understand that the relationship between the whole and the parts depends on the relative size of each, regardless of their shape or orientation.",Understand that a fraction can be represented as a division of the numerator by the denominator (unit fractions and three-quarters).,Understand that proper fractions can act as operators.,Understand that proper and improper fractions can act as operators.
,,,,Understand that a half can act as an operator (whole number answers).,Understand that one half and one quarter can be interpreted as division.,Understand and explain that fractions can describe equal parts of a quantity or set of objects.,Understand that unit fractions can act as operators.,Recognise that improper fractions and mixed numbers can have an equivalent value.,Use knowledge of equivalence to write fractions in their simplest form.
,,,,Understand and visualise that halves can be combined to make wholes.,"Understand that fractions (half, quarter and three-quarters) can act as operators.","Understand that a fraction can be represented as a division of the numerator by the denominator (half, quarter and three-quarters).",Recognise that two proper fractions can have an equivalent value.,"Recognise that proper fractions, decimals (one decimal place) and percentages can have equivalent values.","Recognise that fractions, decimals (one or two decimal places) and percentages can have equivalent values."
,,,,,"Recognise the relative size of 1/4, 1/2, 3/4 and , and the equivalence of 1/2 and 2/4 and 2/2, 4/4 and 1.","Understand that fractions (half, quarter, three-quarters, third and tenth) can act as operators.","Estimate, add and subtract fractions with the same denominator.","Estimate, add and subtract fractions with the same denominator and denominators that are multiples of each other.","Estimate, add and subtract fractions with different denominators."
,,,,,"Understand and visualise that wholes, halves and quarters can be combined to create new fractions.","Recognise that two fractions can have an equivalent value (halves, quarters, fifths and tenths).","Understand percentage as the number of parts in each hundred, and use the percentage symbol (%).","Estimate, multiply and divide unit fractions by a whole number.","Estimate, multiply and divide proper fractions by whole numbers."
,,,,,,"Estimate, add and subtract fractions with the same denominator (within one whole).","Use knowledge of equivalence to compare and order proper fractions, using the symbols =, > and <.","Recognise percentages of shapes, and write percentages as a fraction with denominator 100.","Recognise percentages (1%, and multiples of 5% up to 100%) of shapes and whole numbers."
,,,,,,"Use knowledge of equivalence to compare and order unit fractions and fractions with the same denominator, using the symbols =, > and <.",,"Understand the relative size of quantities to compare and order numbers with one decimal place, proper fractions with the same denominator and percentages, using the symbols =, > and <.","Understand the relative size of quantities to compare and order numbers with one or two decimal places, proper fractions with different denominators and percentages, using the symbols =, > and <."
,,,,,,,,"Estimate, add and subtract numbers with the same number of decimal places.","Estimate, add and subtract numbers with the same or different number of decimal places."
,,,,,,,,Estimate and multiply numbers with one decimal place by 1-digit whole numbers.,Estimate and multiply numbers with one or two decimal places by 1-digit and 2-digit whole numbers.
,,,,,,,,Understand that: a) a proportion compares part to whole b) a ratio compares part to part of two or more quantities.,Estimate and divide numbers with one or two decimal places by whole numbers.
,,,,,,,,,Understand the relationship between two quantities when they are in direct proportion.
,,,,,,,,,Use knowledge of equivalence to understand and use equivalent ratios.
,,Geometry and Measure,Time,Use familiar language to describe units of time.,"Order and compare units of time (seconds, minutes, hours, days, weeks, months and years).",Choose the appropriate unit of time for familiar activities.,"Understand the direct relationship between units of time, and convert between them.",Understand time intervals less than one second.,Convert between time intervals expressed as a decimal and in mixed units.
,,,,Know the days of the week and the months of the year.,Read and record time to five minutes in digital notation (12-hour) and on analogue clocks.,Read and record time accurately in digital notation (12-hour) and on analogue clocks.,Read and record time accurately in digital notation (12- and 24-hour) and on analogue clocks.,Compare times between time zones in digital notation (12- and 24-hour) and on analogue clocks.,
,,,,Recognise time to the hour and half hour.,Interpret and use the information in calendars.,Interpret and use the information in timetables (12-hour clock).,Interpret and use the information in timetables (12- and 24-hour clock).,"Find time intervals in seconds, minutes and hours that bridge through 60.",
,,,,,,"Understand the difference between a time and a time interval. Find time intervals between the same units in days, weeks, months and years.","Find time intervals between different units: a)days, weeks, months and years b) seconds, minutes and hours that do not bridge through 60.","Recognise that a time interval can be expressed as a decimal, or in mixed units.",
,,,"Geometrical reasoning, shapes and measurements","Identify, describe and sort 2D shapes by their characteristics or properties, including reference to number of sides and whether the sides are curved or straight.","Identify, describe, sort, name and sketch 2D shapes by their properties, including reference to regular polygons, number of sides and vertices. Recognise these shapes in different positions and orientations.","Identify, describe, classify, name and sketch 2D shapes by their properties. Differentiate between regular and irregular polygons.","Investigate what shapes can be made if two or more shapes are combined, and analyse their properties, including reference to tessellation.","Identify, describe, classify and sketch isosceles, equilateral or scalene triangles, including reference to angles and symmetrical properties.","Identify, describe, classify and sketch quadrilaterals, including reference to angles, symmetrical properties, parallel sides and diagonals."
,,,,"Use familiar language to describe length, including long, longer, longest, thin, thinner, thinnest, short, shorter, shortest, tall, taller and tallest.",Understand that a circle has a centre and any point on the boundary is at the same distance from the centre.,"Estimate and measure lengths in centimetres (cm), metres (m) and kilometres (km). Understand the relationship between units.","Estimate and measure perimeter and area of 2D shapes, understanding that two areas can be added together to calculate the area of a compound shape.","Estimate and measure perimeter and area of 2D shapes, understanding that shapes with the same perimeter can have different areas and vice versa.",Know the parts of a circle: a) centre b) radius c) diameter d) circumference.
,,,,"Identify, describe and sort 3D shapes by their properties, including reference to the number of faces, edges and whether faces are flat or curved.",Understand that length is a fixed distance between two points. Estimate and measure lengths using non-standard or standard units.,"Understand that perimeter is the total distance around a 2D shape and can be calculated by adding lengths, and area is how much space a 2D shape occupies within its boundary.","Draw rectangles and squares on square grids, and measure their perimeter and area. Derive and use formulae to calculate areas and perimeters of rectangles and squares.","Draw compound shapes that can be divided into rectangles and squares. Estimate, measure and calculate their perimeter and area.",Use knowledge of area of rectangles to estimate and calculate the area of right-angled triangles.
,,,,"Use familiar language to describe mass, including heavy, light, less and more.","Draw and measure lines, using standard units.","Draw lines, rectangles and squares. Estimate, measure and calculate the perimeter of a shape, using appropriate metric units, and area on a square grid.",Estimate the area of irregular shapes on a square grid (whole and part squares).,"Identify, describe and sketch 3D shapes in different orientations.","Identify, describe and sketch compound 3D shapes."
,,,,"Use familiar language to describe capacity, including full, empty, less and more.","Identify, describe, sort and name 3D shapes by their properties, including reference to number and shapes of faces, edges and vertices.","Identify, describe, sort, name and sketch 3D shapes by their properties.","Identify 2D faces of 3D shapes, and describe their properties.",Identify and sketch different nets for a cube.,Understand the difference between capacity and volume.
,,,,Differentiate between 2D and 3D shapes.,Understand that mass is the quantity of matter in an object. Estimate and measure familiar objects using non-standard or standard units.,Estimate and measure the mass of objects in grams (g) and kilograms (kg). Understand the relationship between units.,Match nets to their corresponding 3D shapes.,Use knowledge of reflective symmetry to identify and complete symmetrical patterns.,"Identify and sketch different nets for cubes, cuboids, prisms and pyramids."
,,,,Identify when a shape looks identical as it rotates.,Understand that capacity is the maximum amount that an object can contain. Estimate and measure the capacity of familiar objects using non-standard or standard units.,"Estimate and measure capacity in millilitres (ml) and litres (l), and understand their relationships.","Identify all horizontal, vertical and diagonal lines of symmetry on 2D shapes and patterns.","Estimate, compare and classify angles, using geometric vocabulary including acute, right, obtuse and reflex.",Understand the relationship between area of 2D shapes and surface area of 3D shapes.
,,,,"Explore instruments that have numbered scales, and select the most appropriate instrument to measure length, mass, capacity and temperature.",Identify 2D and 3D shapes in familiar objects.,"Recognise pictures, drawings and diagrams of 3D shapes.","Estimate, compare and classify angles, using geometric vocabulary including acute, right and obtuse.",Know that the sum of the angles on a straight line is 180 degrees and use this to calculate missing angles on a straight line.,"Identify rotational symmetry in familiar shapes, patterns or images with maximum order 4. Describe rotational symmetry as ‘order x’."
,,,,,Identify a horizontal or vertical line of symmetry on 2D shapes and patterns.,Identify both horizontal and vertical lines of symmetry on 2D shapes and patterns.,Use knowledge of fractions to read and interpret a measuring scale.,,"Classify, estimate, measure and draw angles."
,,,,,Predict and check how many times a shape looks identical as it completes a full turn.,Compare angles with a right angle. Recognise that a straight line is equivalent to two right angles or a half turn.,,,"Know that the sum of the angles in a triangle is 180°, and use this to calculate missing angles in a triangle."
,,,,,"Understand that an angle is a description of a turn, including reference to the terms whole, half and quarter turns, both clockwise and anticlockwise.","Use instruments that measure length, mass, capacity and temperature.",,,Construct circles of a specified radius or diameter.
,,,,,Understand a measuring scale as a continuous number line where intermediate points have value.,,,,
,,,Position and transformation,Use familiar language to describe position and direction.,Use knowledge of position and direction to describe movement.,"Interpret and create descriptions of position, direction and movement, including reference to cardinal points.","Interpret and create descriptions of position, direction and movement, including reference to cardinal and ordinal points, and their notations.",Compare the relative position of coordinates (with or without the aid of a grid).,"Read and plot coordinates including integers, fractions and decimals, in all four quadrants (with the aid of a grid)."
,,,,,"Sketch the reflection of a 2D shape in a vertical mirror line, including where the mirror line is the edge of the shape.","Sketch the reflection of a 2D shape in a horizontal or vertical mirror line, including where the mirror line is the edge of the shape.",Understand that position can be described using coordinate notation. Read and plot coordinates in the first quadrant (with the aid of a grid).,Use knowledge of 2D shapes and coordinates to plot points to form lines and shapes in the first quadrant (with the aid of a grid).,Use knowledge of 2D shapes and coordinates to plot points to form lines and shapes in all four quadrants.
,,,,,,,"Reflect 2D shapes in a horizontal or vertical mirror line, including where the mirror line is the edge of the shape, on square grids.","Translate 2D shapes, identifying the corresponding points between the original and the translated image, on square grids.","Translate 2D shapes, identifying the corresponding points between the original and the translated image, on coordinate grids."
,,,,,,,,Reflect 2D shapes in both horizontal and vertical mirror lines to create patterns on square grids.,"Reflect 2D shapes in a given mirror line (vertical, horizontal and diagonal), on square grids."
,,,,,,,,,Rotate shapes 90° around a vertex (clockwise or anticlockwise).
,,Statistics and Probability,Statistics,Answer non-statistical questions (categorical data).,Conduct an investigation to answer non-statistical and statistical questions (categorical data).,Conduct an investigation to answer non-statistical and statistical questions (categorical and discrete data).,"Plan and conduct an investigation to answer statistical questions, considering what data to collect (categorical and discrete data).","Plan and conduct an investigation to answer a set of related statistical questions, considering what data to collect (categorical, discrete and continuous data).","Plan and conduct an investigation and make predictions for a set of related statistical questions, considering what data to collect (categorical, discrete and continuous data)."
,,,,"Record, organise and represent categorical data using: a)practical resources and drawings b) lists and tables c) Venn and Carroll diagrams d) block graphs and pictograms.","Record, organise and represent categorical data. Choose and explain which representation to use in a given situation: a) lists and tables b) Venn and Carroll diagrams c) tally charts d) block graphs and pictograms.","Record, organise and represent categorical and discrete data. Choose and explain which representation to use in a given situation: a)Venn and Carroll diagrams b) tally charts and frequency tables c) pictograms and bar charts.","Record, organise and represent categorical and discrete data. Choose and explain which representation to use in a given situation: a) Venn and Carroll diagrams b) tally charts and frequency tables c) pictograms and bar charts d) dot plots (one dot per count).","Record, organise and represent categorical, discrete and continuous data. Choose and explain which representation to use in a given situation: a) Venn and Carroll diagrams b) tally charts and frequency tables c) bar charts d) waffle diagrams e) frequency diagrams for continuous data f) line graphs g) dot plots (one dot per data point).","Record, organise and represent categorical, discrete and continuous data. Choose and explain which representation to use in a given situation: a) Venn and Carroll diagrams b) tally charts and frequency tables c) bar charts d) waffle diagrams and pie charts e) frequency diagrams for continuous data f) line graphs g) scatter graphs f) dot plots."
,,,,"Describe data, using familiar language including reference to more, less, most or least to answer nonstatistical questions and discuss conclusions.","Describe data, identifying similarities and variations to answer non-statistical and statistical questions and discuss conclusions.","Interpret data, identifying similarities and variations, within data sets, to answer non-statistical and statistical questions and discuss conclusions.","Interpret data, identifying similarities and variations, within and between data sets, to answer statistical questions. Discuss conclusions, considering the sources of variation.","Understand that the mode and median are ways to describe and summarise data sets. Find and interpret the mode and the median, and consider their appropriateness for the context.","Understand that the mode, median, mean and range are ways to describe and summarise data sets. Find and interpret the mode (including bimodal data), median, mean and range, and consider their appropriateness for the context."
,,,,,,,,"Interpret data, identifying patterns, within and between data sets, to answer statistical questions. Discuss conclusions, considering the sources of variation.","Interpret data, identifying patterns, within and between data sets, to answer statistical questions. Discuss conclusions, considering the sources of variation, and check predictions."
,,,Probability,,"Use familiar language associated with patterns and randomness, including regular pattern and random pattern.","Use familiar language associated with chance to describe events, including 'it will happen', 'it will not happen', 'it might happen'.","Use language associated with chance to describe familiar events, including reference to maybe, likely, certain, impossible.","Use the language associated with likelihood to describe and compare likelihood and risk of familiar events, including those with equally likely outcomes.",Use the language associated with probability and proportion to describe and compare possible outcomes.
,,,,,"Conduct chance experiments with two outcomes, and present and describe the results.","Conduct chance experiments, and present and describe the results.","Conduct chance experiments, using small and large numbers of trials, and present and describe the results using the language of probability.","Recognise that some outcomes are equally likely to happen and some outcomes are more (or less) likely to happen, when doing practical activities.","Identify when two events can happen at the same time and when they cannot, and know that the latter are called 'mutually exclusive'."
,,,,,,,,"Conduct chance experiments or simulations, using small and large numbers of trials, and present and describe the results using the language of probability.",Recognise that some probabilities can only be modelled through experiments using a large number of trials.
,,,,,,,,,"Conduct chance experiments or simulations, using small and large numbers of trials. Predict, analyse and describe the frequency of outcomes using the language of probability."
,,,,,,,,,
,Science,Thinking and Working Scientifically,Scientific enquiry: purpose and planning,Ask questions about the world around us and talk about how to find answers.,Ask questions about the world around us and talk about how to find answers.,Ask scientific questions that can be investigated.,Ask scientific questions that can be investigated.,Ask scientific questions and select appropriate scientific enquiries to use.,Ask scientific questions and select appropriate scientific enquiries to use.
,,,,Make predictions about what they think will happen.,Make predictions about what they think will happen.,"Know that there are five main types of scientific enquiry (research, fair testing, observing over time, identifying and classifying, and pattern seeking).","Know that there are five main types of scientific enquiry (research, fair testing, observing over time, identifying and classifying, and pattern seeking).",Know the features of the five main types of scientific enquiry.,Know the features of the five main types of scientific enquiry.
