Skills,Sub-skills,Goal,Stage-7,Stage-8,Stage-9
,,,,Understand that the Earth's climate can change due to atmospheric change.,"Describe the historical and predicted future impacts of climate change, including sea level change, flooding, drought and extreme weather events."
,,,,Describe the difference between climate and weather.,
,,Earth in space,"Describe how planets form from dust and gas, which are pulled together by gravity.","Describe a galaxy in terms of stellar dust and gas, stars and planetary systems.","Describe the consequences of asteroid collision with the Earth, including climate change and mass extinctions."
,,,Know that gravity is the force that holds components of the Solar System in orbit around the Sun.,"Describe asteroids as rocks, smaller than planets, and describe their formation from rocks left over from the formation of a planetary system.",Describe the evidence for the collision theory for the formation of the Moon.
,,,"Describe tidal forces on Earth as a consequence of the gravitational attraction between the Earth, Moon and Sun.",,"Know that nebulae are clouds of dust and gas, and can act as stellar nurseries."
,,,Explain how solar and lunar eclipses happen.,,
,Science in Context,Science in Context,Discuss how scientific knowledge is developed through collective understanding and scrutiny over time.,Discuss how scientific knowledge is developed through collective understanding and scrutiny over time.,Discuss how scientific knowledge is developed through collective understanding and scrutiny over time.
,,,"Describe how science is applied across societies and industries, and in research.","Describe how science is applied across societies and industries, and in research.","Describe how science is applied across societies and industries, and in research."
,,,Evaluate issues which involve and/or require scientific understanding.,Evaluate issues which involve and/or require scientific understanding.,Evaluate issues which involve and/or require scientific understanding.
,,,"Describe how people develop and use scientific understanding, as individuals and through collaboration, e.g. through peer-review.","Describe how people develop and use scientific understanding as individuals and through collaboration, e.g. through peer-review.","Describe how people develop and use scientific understanding as individuals and through collaboration, e.g. through peer-review."
,,,Discuss how the uses of science can have a global environmental impact.,Discuss how the uses of science can have a global environmental impact.,Discuss how the uses of science can have a global environmental impact.
,,,,,
Computing,Computational Thinking,Computational Thinking,"Follow, understand, edit and correct algorithms that are presented as flowcharts.",Follow and understand algorithms that are presented as pseudocode.,"Follow, understand, edit and correct algorithms that are presented as pseudocode."
,,,Know how to create algorithms using flowchart symbols.,Follow flowcharts and pseudocode algorithms that use conditional statements.,Follow flowchart or pseudocode algorithms that use loops.
,,,"Follow and understand the logic of AND, OR, NOT.","Identify the important characteristics of pseudocode, including that it should be short, clear and precise and should have the start and end clearly shown.",Know how to create algorithms using flowcharts and pseudocode.
,,,"Understand and use selection statements, limited to IF, THEN, ELSE, presented as flowcharts.",Explain the need for searching algorithms.,Know how to use predefined sub-routines in flowcharts or pseudocode.
,,,Predict the outcome of flowcharts that use selection.,Describe and use linear searches.,Describe and use binary searches.
,,,Explain the importance of pattern recognition when designing solutions to tasks.,"Understand and use rules using AND, OR and NOT to create logic within algorithms.","Understand and use iteration statements, limited to count-controlled loops, presented as either flowcharts or pseudocode."
,,,"Follow, understand, edit and correct algorithms that use sub-routines.",Predict the outcome of algorithms and test that they meet those outcomes.,Predict the outcome of algorithms that use iteration.
,,,"Select and use appropriate constructs in algorithms written as flowcharts, limited to sequence and selection.",Know how to decompose problems into their sub-problems.,Compare and contrast algorithms designed for the same tasks to determine which is best suited to the purpose.
,,,"Select and use appropriate comparison operators in algorithms, limited to <,>, <=, >=, == (equal to) and != (not equal to).",Know how to develop algorithms that use at least one constant.,"Combine multiple constructs (sequence, selection, count-controlled iteration) to write algorithms as flowcharts or pseudocode."
,Programming,Programming,"Identify and describe data types in text-based programs, including Integer, Real and String.",Outline the purpose of program libraries.,Explain the purpose of a one-dimensional array.
,,,Know how to develop text-based programs that use input and output.,"Identify and describe data types in text-based programs, including Integer, Real and Boolean.","Identify and describe data types in text-based programs, including Integer, Real, Character, String and Boolean."
,,,"Know how to develop text-based programs using data types, including Integer, Real, and String.",Identify and know how to use library functions in text-based programs.,Know how to develop text-based programs with count-controlled loops.
,,,Know how to use variables in text-based programs.,Know how to develop text-based programs with conditional (selection) statements.,Know how to access data from an array using a text-based language.
,,,"Know how to develop text-based programs that use different arithmetic operators, including,+- , *, /.","Know how to develop text-based programs using data types, including Integer, Real, String and Boolean.","Know how to develop text-based programs using string manipulation, including length, upper case, and lower case."
,,,Evaluate prototypes for software development projects.,"Know how to develop text-based programs which use rules involving AND, OR and NOT.",Use iterative development on software prototypes to produce solutions to problems.
,,,Explain the purpose of project plans for software development projects.,Use an iterative process to develop programs.,Evaluate the processes that are followed to develop programs.
,,,Know how to apply test plans.,Know how to develop and apply test plans.,"Know how to develop and apply test plans that include normal, extreme and invalid data."
,,,Understand how errors can be introduced into programs.,Explain the need for using a range of test data.,"Identify test data that covers normal, extreme and invalid."
,,,Know how to systematically identify and debug errors in text-based programs.,Know how to test algorithms using suitable data.,"Identify a range of errors, including syntax, logic, and runtime errors."
,,,"Know how to develop programs for a physical computing device to generate multiple outputs, based on multiple inputs.",Know how to develop programs that allow two or more physical devices to interact.,Use trace tables to systematically debug text-based programs.
,,,,,Know how to program physical devices to use data to solve problems.
,Managing Data,Managing Data,"Know that there are many systems that can be used to model real-life scenarios, such as simulators.","Identify key features of models such as simulators, including their data requirements.",Evaluate the use of models that represent real-life systems.
,,,Evaluate the effectiveness of data capture forms.,"Design appropriate forms, including data validation, to collect data for given purposes.","Know how to use functions in spreadsheets to analyse data, including IF, MIN, MAX, COUNT."
,,,Know how to write rules to apply conditional formating to cells.,"Know how to use spreadsheets that are models of real-life systems, using what-if analysis to compare alternative scenarios.",Create spreadsheets that model real-life systems.
,,,Understand the purpose of a primary key.,Evaluate the suitability of data that have been collected for particular purposes.,Evaluate the suitability of pre-existing spreadsheets for given purposes.
,,,Select appropriate fields to be the primary key.,Know how to add validation rules to a database structure.,Know how to create relational databases with two or more linked tables.
,,,"Know how to search pre-existing databases using a single criterion, such as <,>.",Evaluate the suitability of pre-existing databases for given purposes.,Know how to create complex searches for data in databases using two or more criteria.
,,,"Know that data is used to model scenarios within a range of industries, including health, manufacture and retail.",Identify the data that are required for specific applications.,Create complex searches in relational databases.
,,,,,Define the term 'Big Data' and describe its applications.
,Networks and Digital Communication,Networks and Digital Communication,Explain the use of IP addresses and URLs.,"Identify types of network, including PAN, LAN, WAN.","Know that there are different network topologies, including bus, ring and star."
,,,Explain how DNS enables users to access websites.,Describe the uses and characteristics of copper cables and fibre optic cables to transmit data.,"Explain the role of protocols in transmitting data, including TCP/IP and HTTP."
,,,"Know the differences between BluetoothÂ®, wi-fi and cellular networks, including the different generations of cellular networks (4G, 5G).","Describe the advantages and disadvantages of wired and wireless networks, including performance and security aspects.",Explain the scalability factors that should be considered when designing networks.
,,,Outline why errors occur in data transmission.,Describe how echo checks are used to detect errors in transmission.,Understand the role of parity bits in error detection.
,,,Explain the use of encryption to keep data secure during data transmission.,Explain the role and the importance of firewalls in networks.,"Explain the choices that should be made when implementing network security, including accessibility, cost and the relative security requirements of different data sets."
,,,Explain how to check whether a website is secure.,Explain the use of antivirus and antispyware to keep data secure on a network.,
,Computer Systems,Computer Systems,Evaluate the design of digital devices and systems.,Describe the purpose of operation systems.,"Identify improvements to the design of digital devices, based on prototypes and a range of factors including user experience, accessibility, ergonomics and emerging technologies."
,,,Understand the differences between application software and system software.,Describe the purpose of utility programs.,Understand which tasks are carried out by an operating system.
,,,Describe how analogue images are digitised.,Describe how ASCII is used to represent characters.,"Describe examples of utility programs including drivers, security software and defragmentation."
,,,"Understand that a binary number can represent different data, such as numbers, characters, images, and sounds.",Define the term 'compression' and describe why it is required.,"Understand that there are different types of translator, including the main characteristics of compilers and interpreters."
,,,Know that computers are made up of logic gates that are represented by Boolean logic.,"Know how to convert binary to denary, and denary to binary.",Describe how analogue sound is digitised.
,,,"Understand the role of logic gates in circuits, including AND, OR and NOT.","Complete truth tables for AND, OR and NOT gates.",Know how to convert between storage units.
,,,Know that Artificial Intelligence (AI) allows computers to take information from their surroundings to produce outputs based on how they are able to process that information.,"Understand the roles of primary memory, RAM and ROM.",Know how to draw logic circuits for Boolean expressions.
,,,"Explain the use of automation in at least two industries, such as health, manufacture or advertising.",Define the term 'machine learning'.,Understand that computers store lists of instructions to be run one at a time.
,,,"Explain a range of applications of AI, including in image recognition and in computer games.","Identify the use of augmented reality in familiar contexts, including education and entertainment.",Understand the Fetch-Decode-Execute cycle.
,,,,Describe how autonomous programming and AI is used in robotics.,Describe a range of scenarios where machine learning is used.
,,,,,"Describe the benefits and risks of the computerisation of traditional manufacturing and industrial practices, for example Industry 4.0."
,,,,,
Digital Literacy,Tools and Content Creation,Tools and Content Creation,Develop fluency and accuracy when typing in increasing quantity.,Develop fluency and accuracy when typing in increasing quantity.,Develop fluency and accuracy when typing in increasing quantity.
,,,"Use devices to create increasingly sophisticated digital artefacts, including the use of sound, video, text and other multimedia.","Use devices to create increasingly sophisticated digital artefacts, including the use of sound, video, text and other multimedia.","Use devices to create increasingly sophisticated digital artefacts, including the use of sound, video, text and other multimedia."
,,,"Know that files can be stored remotely on other computers, networks or in the cloud.",Create templates and master documents and understand the benefit of these.,Create a portfolio of documents for a common purpose.
,,,Select and use online and offline tools that aid personal organisation and collaboration.,"Understand when it is appropriate to use informal ways to convey emotion or meaning in an electronic message, for example emojis, gifts and memes.",Use advanced search techniques to refine search results.
,,,Use track changes and comments when editing documents.,Use advanced search techniques to refine search results.,
,,,Use advanced search techniques to refine search results.,,
,Safety and Wellbeing,Safety and Wellbeing,Know some people purposefully antagonise other online users and understand the risks of engaging with that behaviour.,Know that permissions can be set on files or within a network to protect them from unauthorised access.,Understand the risks of downloading software and streaming from unauthorised sources.
,,,"Understand that they have personal responsibility for their digital activity, safety and wellbeing.",Understand personal identity can be protected by having a username which is not personally identifiable.,"Explain how search engines provide personalised search results based on metadata, including targeted advertising."
,,,"Understand that all online activity can be collated and added to a user's digital footprint, which can have positive and negative consequences.",Assess the suitability and security of websites and hyperlinks through reading the URL.,"Understand the payment models that exist in the gaming and app industries, and identify the advantages and disadvantages of these models."
,,,,Know that metadata can provide a detailed description of an online user and that each online action increases the detail of that description.,Identify the benefits and risks of online gaming and eSports.
,,,,Understand that metadata can be sold as a product.,"Understand that they have personal responsibility for their digital activity, safety and wellbeing"
,,,,"Understand that they have personal responsibility for their digital activity, safety and wellbeing.",
,The Digital World,The Digital World,Describe the positives and negatives of online live coverage of news and events.,Make effective judgments about the validity of the source and accuracy of information found online.,Make effective judgments about the validity of the source and accuracy of information found online.
,,,Understand the benefits and risks of online communities.,"Understand the benefits and limitations of different methods of online communication, including video, audio and text.",Understand that obtaining unauthorised access to digital media is a form of theft.
,,,"Understand plagiarism, crediting, citation and fair use.",Describe how digital technology is changing the workplace.,Describe the potential for online communication to bring together and maintain communities in the real world.
,,,Understand that the storage capacity of a device is limited.,Describe the benefits and risks of the Internet of Things.,Understand what is meant by the digital divide and how this affects different areas of society both locally and globally.
,,,Discuss and make predictions about future technologies.,,Describe the impact of digital technology on the creative disciplines.
,,,,,Describe the benefits and risks of AI.
,,,,,
Global Perspectives,Research,Constructing research questions,Construct relevant research questions,,Construct a range of relevant research questions and identify the most appropriate one to follow up
,,Information skills,Identify and begin to reference a range of print and multimedia sources and use them to locate relevant information and answer research questions,,Identify and accurately reference a wide range of print and multimedia sources and use them to locate relevant information and answer research questions
,,Conducting research,Select an appropriate method and conduct research to test predictions and begin to answer a research question,,Select most suitable methods and conduct research to test predictions and answer a research question
,,Recording findings,"Select, organise and record relevant information from a range of sources and findings from research, using appropriate methods",,"Select, organise and effectively record relevant information from a wide range of sources and findings from research, justifying the method chosen"
,Analysis,Identifying perspectives,"Identify ideas and evidence from different perspectives within different sources, on a given topic",,Identify perspectives and synthesise arguments and evidence from a range of sources on a given topic
,,Interpreting data,Explain how graphical or numerical data supports an argument,,Identify patterns and trends in graphical or numerical data in order to support an argument
,,Making connections,Explain causes of a local or global issue and consequences on others,,"Make some links between causes and consequences of an issue at personal, local and global levels"
,,Solving problems,Suggest and justify different actions to make a positive difference to a national or global issue,,Recommend an appropriate course of action and explain possible consequences for a national or global issue
,Evaluation,Evaluating Sources,"Evaluate sources, considering the author and purpose, recognising that some sources may be biased",,"Evaluate a range of sources, considering the author and purpose and how well they are supported by other sources, explaining why some may be biased"
,,Evaluating arguments,"Discuss the effectiveness of a source, making explicit reference to its development of an argument",,"Evaluate the reasoning of an argument in a source, considering the structure and techniques used"
,Reflection,Personal contribution,Explain personal contribution to teamwork and identify targets for improvement,,Explain personal contribution to teamwork and relate to own strengths and areas for improvement
,,Teamwork,Consider the benefits and challenges of teamwork experienced when working together to achieve a shared outcome,,Relate benefits and challenges of teamwork to personal experience of working together to achieve a shared outcome and identify targets for improvement
,,Personal viewpoints,Consider ways that personal perspective on an issue may have changed as a result of conducting research or exploring different perspectives,,Explain how personal perspective on an issue has changed as a result of conducting research and exploring different perspectives
,,Personal learning,Identify skills learned or improved during an activity and relate to personal strengths and areas for improvement,,Identify skills learned or improved during an activity and consider strategies for further development
,Collaboration,Cooperation and interdependence,"The team assign roles and divide tasks fairly, considering skills of team members and time available, and work together to achieve a shared outcome",,The team assign roles and tasks with an appropriate rationale and respond flexibly when required to help each other achieve a shared outcome
,,Engaging in teamwork,"The team member introduces useful ideas to help achieve a shared outcome and works positively to resolve conflict, solve problems and encourage other team members to participate, when required",,"The team member introduces useful ideas to help achieve a shared outcome, and works positively and sensitively to resolve conflict and solve problems, supporting and encouraging other team members to participate, when required"
,Communication,Communicating information,"Present information and arguments clearly with some reasoning, referencing sources where appropriate",,"Present coherent, well-reasoned and clearly structured arguments with detailed referencing of sources where appropriate"
,,Listening and responding,Listen to ideas and information and offer relevant and well-judged contributions that demonstrate understanding of the issue,,Listen to ideas and information and offer well-judged contributions that shape the discussion and enhance understanding of the issue.
,,,,,
Humanities,People,Community,Analyse different variations of communities.,,
,,,"Analyse how power and control are allocated in local, national or international communities and how effectively these communities operate on behalf of their members.",,
,,,Present a rationale for an imagined alternative power structure in a community.,,
,,,Compare the rules that apply to communities in their country with those in another country.,,
,,,Analyse different approaches to what happens when rules are broken internationally.,,
,,Identity,Analyse the characteristics of worldviews.,,
,,,Identify and challenge commonly held beliefs and expectations in their personal worldviews.,,
,,,Analyse the impact of differences in personal worldviews.,,
,,,"Analyse the impact of social media, community, family and peers on their worldviews.",,
,,,Analyse how personal and others' worldviews evolve over time.,,
,,Money and trade,Analyse the people and organisations that hold financial power in the world.,,
,,,"Identify the causes of poverty in their local community, country and the world.",,
,,,"Evaluate local, national and global solutions to poverty.",,
,,,Analyse the goods produced or services provided in their country and describe one or more that are internationally traded.,,
,,,Explain how governments raise and spend money.,,
,,,Compare approaches to assisting those with not enough money to meet their needs.,,
,,Rights and responsibilities,"Identify their own ideas of fundamental human rights, beginning with their personal perspectives, and compare these with the rights outlined in the United Nations Declaration of Human Rights (UNDHR).",,
,,,"Evaluate the articles of the United Nations' Universal Declaration of Human Rights on a local, national and global level.",,
,,,"Evaluate the law making process, laws and law enforcement in their country and globally.",,
,,Skills toolbox: People,"Identify the impact of their own and others' viewpoints, especially during discussions or when handling data.",,
,,,Identify the impact of worldviews on social structures and relationships.,,
,,,"Implement ethical approaches to data collection, including confidentiality and data protection, by applying best practices and guidelines in real-world scenarios.",,
,Past,Arts and sciences,"From a past context, analyse one or more of the following: 1) how fashion was used to support or challenge different social groups 2) how art was used to support or challenge those in power 3) the interrelationship between architectural styles and wider social and cultural movements.",,
,,,"From a past context, analyse the social or cultural impact of scientific discoveries.",,
,,,"From a past context, describe and compare the impact of medical discoveries or breakthroughs.",,
,,Belief and culture,"From a past context, analyse the influence of a belief system on a society.",,
,,,"From a past context, analyse the influence of a belief system on a society.",,
,,,"From a past context, analyse how communication methods affected the transmission and impact of stories.",,
,,Conflict and resolution,"From a past context, analyse one or more of the following: 1) an external power's contribution to a civil war 2) a religious conflict within a religion 3) a revolution or uprising.",,
,,,"From a past context, analyse one or both of the following: 1) the impact of 'total war' on a society 2) the impact of technological innovation on warfare. ",,
,,,"From a past context, analyse the extent to which multi-national organisations have prevented conflict between nations.",,
,,Economy and communications,"From a past context, explain the significance of moving from a nomadic to a farm-based economy.",,
,,,"From a past context, explain the impact of a trade route on the regions it connected.",,
,,,"From a past context, analyse the significance of the printing press on a society.",,
,,,"From a past context, analyse the impact of the internet on a major world event.",,
,,,"From a past context, describe an industrial revolution.",,
,,Migrations and empires,"From a past context, explain the impact of migration on a region or society.",,
,,,"From past contexts, compare the rise, expansion and end of two empires.",,
,,,"From a past context, analyse the impact of a conquest on the conquering and conquered peoples.",,
,,,"From a past context, analyse the extent to which colonial exploitation changed a colonised society.",,
,,Society and daily life,"From a past context, analyse the relationship between social hierarchy tensions and social change.",,
,,,Analyse the concept of childhood during the twentieth and twenty-first centuries.,,
,,,"From past contexts, compare two systems of government.",,
,,,Analyse the impact of the feminist movement on a region of the world in the twentieth and twenty-first centuries.,,
,,,"From a past context, analyse the extent to which a civil rights or other social movement achieved social change.",,
,,,"From a past context, analyse the impact of the institution of slavery through one or more of the following: 1) economically 2) socially 3) politically 4) culturally 5) psychologically.",,
,,Skills toolbox: Past,Use a variety of sources to construct a historical argument and recognise the issues involved with the sources used.,,
,,,Develop a historical question that provides the basis for a sound historical enquiry.,,
,,,Analyse the relative strengths of different interpretations of the past.,,
,,,Develop a secure and broad chronological understanding of key historical periods and events.,,
,,,Explain how knowledge of the past is used to understand the present and think about implications for the future.,,
,Places,Economic development,Explain why employment structures vary between countries.,,
,,,Explain how global patterns of employment have changed over the last 100 years.,,
,,,Evaluate ways in which economic development can be sustainable.,,
,,Environment,Evaluate biodiversity in their local area and in a contrasting biome.,,
,,,Explain the interrelationships between plants and animals in two contrasting ecosystems.,,
,,,Explain how changes in the human environment can affect the natural environment on a global scale.,,
,,Living places,Evaluate the benefits and challenges of living in a particular settlement.,,
,,,Use maps to describe and explain variations in population density across their country.,,
,,,Describe key characteristics of global population growth and distribution.,,
,,Physical features and processes,Use maps to describe how the landscape varies across a continent other than their own.,,
,,,Use a range of global and national reference points to describe location and distribution of physical and human features at a range of scales.,,
,,,"Explain how the processes of erosion, transportation and deposition operate across two different physical environments.",,
,,,Explain how the structure of the Earth and the movement of tectonic plates causes tectonic hazards.,,
,,Population and health,Describe and explain why the global population has changed over time.,,
,,,Explain why people migrate and the effects this has on individuals and countries.,,
,,,Evaluate the impact of a global disease and how it can be reduced.,,
,,Sustainability,Analyse the challenges involved in protecting the environment with reference to the needs of different stakeholder groups.,,
,,,Analyse some of the challenges around providing reliable and sustainable power.,,
,,,Explain how climate change has different effects and solutions in different places.,,
,,,"Explain how sustainable development applies to the environment, economy and people in a country.",,
,,Travel and transport,Analyse the challenges of planning a national transport system.,,
,,,Explain how national and international transport choices link to climate change.,,
,,,Suggest how to develop sustainable transport solutions for the future.,,
,,Weather and climate,Use maps to explain how and why weather and climate varies across their continent.,,
,,,Describe two types of weather hazard and explain how they affect people.,,
,,,Describe how two different types of rainfall happen.,,
,,,Draw and interpret a climate graph for a named location.,,
,,Skills toolbox: Places,Interpret a range of photographs and topographical and thematic maps to gain information about places.,,
,,,"Select and use a range of techniques to collect, analyse and present fieldwork data.",,
,,,,,
English,Reading,Vocabulary and language,"Deduce the meanings of unfamiliar words in context using a range of strategies, including knowledge of word families, etymology and morphology.","Deduce the meanings of unfamiliar words in context using a range of strategies, including knowledge of word families, etymology and morphology.","Deduce the meanings of unfamiliar words in context using a range of strategies, including knowledge of word families, etymology and morphology."
,,,"Comment on a writer's choice of language, demonstrating an understanding of the impact on the reader.",Explain how a writer's choice of language contributes to the intended purpose and overall impact on the reader.,"Analyse how language choices contribute to the intended purpose and overall impact on the reader, e.g. demonstrating the effectiveness of imagery in contrasting texts, or arguing whether or not the use of highly emotive language in an advertisement is counterproductive to its intended purpose."
,,,"Describe how linguistic and literary techniques are used to create effects in a specific context, and use accurate terminology, e.g. using terms such as assonance or sibilance to differentiate between types of phonetic repetition.","Compare texts from different cultures and times, commenting on the use of language to develop similar themes.","Develop precise, perceptive analysis of how linguistic and literary techniques are used, e.g. explaining how euphemisms conceal bias in a political statement, or why a particular idiom is used by a character."
,,,,"Explain possible interpretations, explicit and implicit, of a writer's use of linguistic and literary techniques, e.g. explaining how hyperbole suggests a character's attitude, or how an oxymoron is used to emphasise a point.",
,,Grammar and punctuation,"Comment on the use of punctuation to create effects, e.g. using an ellipsis to show a cliffhanger.",Explain how a writer's choice of punctuation can convey shades of meaning.,Analyse how the use of rhetorical punctuation can support a writer's intended purpose.
,,,"Show awareness of reasons for using simple, compound, complex and compound-complex sentences.","Explain how a writer uses simple, compound, complex and compound-complex sentences for effect in their writing.","Analyse how a writer manipulates and adapts simple, compound, complex and compound-complex sentences for intended purpose and effect in their writing."
,,,Comment on how a writer builds up detail through the grammatical structure of their sentences.,Comment on how a writer builds up detail and conveys shades of meaning through the grammatical structure of their sentences.,"Analyse, in depth and detail, a writer's use of grammatical features and their effects on the overall development of the text."
,,,Comment on the ways in which a writer uses non-standard English.,Comment on ways in which a writer uses standard and nonstandard English for effect.,Analyse the purpose and effect of a writer's choice of formal or informal language in a text.
,,,Identify differences between formal and informal language.,Comment on the use of formal and informal language in a text and a writer's motivation for making the choice.,
,,Structure of texts,"Comment on the key features of text structure in a range of fiction and non-fiction texts, including poetic forms.","Discuss how a writer uses features of text structure for effect in a range of fiction and non-fiction texts, including poetic forms.","Analyse how the structure of a text can be manipulated for effect in a range of fiction and non-fiction texts, including poetic forms."
,,,"Identify and comment on the variety of ways in which the content of texts can be organised and linked to support the intended purpose, including paragraphs.",Discuss how a writer organises and links the content of their text for clarity and effect.,Evaluate the impact of a writer's choice of organisational and linking features on the intended audience.
,,,Comment on the impact of a writer's choice of connectives and sentence openings on the intended purpose and audience.,Comment on how a writer's choice of connectives and sentence openings clarifies or emphasises connections in a specific context.,
,,Interpretation of texts,"Read and discuss a range of fiction genres, poems and playscripts, including the contribution of any visual elements or multimedia.","Read and discuss a range of fiction genres, poems and playscripts, including the contribution of any visual elements or multimedia.","Read and discuss a range of fiction genres, poems and playscripts, including the contribution of any visual elements or multimedia."
,,,Read and discuss a range of non-fiction text types.,Read and discuss a range of non-fiction text types.,Read and discuss a range of non-fiction text types.
,,,Identify and explain the meaning of explicit information from a range of texts.,Identify and discuss the impact of explicit information on the reader.,Analyse the implications of identified explicit information on the meaning of the rest of a text.
,,,Use inference and deduction to recognise and explain implicit meanings.,Comment on a writer's implied meaning and intended effect.,"Analyse and explore different layers of meaning within texts, including bias."
,,,Identify bias in a text.,Comment on the impact of bias in a text.,Synthesise information from across a single text and multiple texts to develop and strengthen a point.
,,,Collate and summarise ideas and information from a text.,Collate and summarise ideas and information from multiple texts.,Select the most appropriate reading strategy to locate and extract information and ideas from a variety of texts.
,,,"Use a range of reading strategies to extract relevant information from a text, including annotation.",Use a range of reading strategies to identify and distinguish between main and subsidiary points in texts.,Use judiciously chosen textual references to develop analysis of texts.
,,,Support and inform personal and critical responses to texts with relevant textual references.,Use relevant textual references when supporting or disagreeing with a point.,Analyse and respond to the themes in a variety of related texts.
,,,Comment on the different ways in which writers convey theme and the impact on the reader.,Compare and comment on the textual features used in more than one text to develop similar themes and elicit responses from the reader.,"Analyse how a writer uses a combination of features to enhance their intended meaning, e.g. a poet using enjambment to emphasise key language choices."
,,,"Begin to discuss how a writer combines different structural, linguistic and literary features for effect.","Explain how a writer combines structural, linguistic and literary features for effect.","Analyse and respond to the range of ideas, differing viewpoints and purposes in a variety of related texts."
,,,"Identify and comment on the main ideas, viewpoints and purposes in a text.","Trace the development of ideas, viewpoints and purposes through a text and relate these to other texts read.",Read a variety of texts by the same writer and explore how their voice is consistently conveyed across the texts.
,,,Show understanding of how writers create a distinctive voice.,Discuss the range of techniques writers use to distinguish between different voices.,
,,Appreciation and reflection,Enjoy reading a wide range of texts.,Enjoy reading a wide range of texts.,Enjoy reading a wide range of texts.
,,,"Express personal responses to texts, including preferences and opinions, referring back to specific content.",Express informed personal responses to texts.,Express informed personal responses to texts that take the views of others into consideration.
,,,"Experiment with the choice of books read, including choosing writers or genres which compare or contrast with previous reading.","Make a reasoned choice when reading for different purposes, including for pleasure.","Give and respond to text recommendations, showing awareness of others' preferences."
,,,Discuss how readers make choices about which texts to read.,Explore how different readers choose and respond to texts.,Analyse how the meaning of texts is shaped by a reader's preferences and opinions.
,,,"Comment on the different ways texts can reflect the social, cultural and historical contexts in which they were written.","Discuss why certain texts are important within a culture, and show awareness that the context in which a text is written and read affects its meaning.","Explain how ideas, experiences and values are portrayed in, and affect, the interpretation of texts from different social, cultural and historical contexts."
,Writing,Word structure (spelling),Use known spelling patterns to correctly spell most commonly used words.,"Spell most words correctly, including some complex polysyllabic words and unfamiliar words.","Spell correctly, including complex polysyllabic words."
,,,"Show understanding of word families, roots, derivations and morphology in spelling.","Show understanding of word families, roots, derivations and morphology in spelling.","Show understanding of word families, roots, derivations and morphology in spelling."
,,,Use relevant strategies for spelling correctly.,"Use, with confidence, a range of strategies for spelling correctly.",Use the most appropriate spelling strategy as necessary.
,,Vocabulary and language,Use language precisely to clarify and extend intended meaning.,Create and control meaning through precise use of a range and variety of language.,Make conscious language choices to shape the intended purpose and effect on the reader.
,,,Create an effect by using key linguistic and literary techniques.,Create effects by using a range of linguistic and literary techniques.,Make conscious use of linguistic and literary techniques to shape the intended meaning and effect.
,,,Use a range of sources to develop and extend the range of language used in written work.,Use a range of sources to develop and extend the range of language used in written work.,Use a range of sources to develop and extend the range of language used in written work.
,,Grammar and punctuation,"Use ellipses, colons, semi-colons, dashes and hyphens, including hyphens for compound adjectives.",Use all punctuation accurately and to enhance meaning.,"Use punctuation rhetorically to support the intention of the writing, e.g. using ellipses in a character's dialogue to show nervousness."
,,,Use a range of punctuation accurately to clarify meaning in sentences and dialogue.,"Use simple, compound, complex and compound-complex sentences accurately, beginning to manipulate them for effect on the whole text.","Demonstrate control of simple, compound, complex and compound-complex sentences, manipulating and adapting them for intended purpose and effect."
,,,"Use simple, compound, complex and compound-complex sentences accurately, in a variety of sentence types, to communicate meaning.","Create detail and convey shades of meaning through the grammatical structure of sentences, e.g. controlling order of clauses.","Use grammatical features to shape and craft sentences that contribute to overall development of the text, e.g. embedded phrases and clauses that support succinct explanation; use of antithesis, repetition or balance in sentence structure."
,,,"Build up detail through the grammatical structure of sentences, e.g. expanding verb phrases.",Use the conventions of standard English in specific contexts for particular effects.,Use the conventions of standard English across a range of registers.
,,,Use the conventions of standard English consistently in writing.,"Vary the degrees of formality and informality when making choices of register in writing, according to the identified context, purpose and audience.","Vary the degrees of formality and informality to enhance and emphasise meaning in relation to the context, purpose and audience."
,,,"Use formal and informal registers appropriately according to context, purpose and audience.",,
,,Structure of texts,Shape the overall structure and sequence of a chosen text to convey the intended purpose accurately.,Use features of text structure to demonstrate a sense of linked progression.,"Experiment with different ways of structuring texts, appropriate for different audiences and purposes."
,,,"Use a range of organisational features accurately to link ideas, and clarify and extend meaning.",Use a range of organisational features to support the intended purpose and audience.,Use a range of organisational features to achieve particular effects with purpose and audience in mind.
,,,"Use appropriate connectives and sentence openings to clarify connections in writing, e.g. connectives for comparison, sequencing, qualifying.",Use carefully chosen connectives and sentence openings to clarify or emphasise connections in writing.,
,,Creation of texts,Write confidently in a range of different genres of fiction and types of poems.,Write confidently in a range of different genres of fiction and types of poems.,Write confidently in a range of different genres of fiction and types of poems.
,,,"Use a range of planning methods to generate, organise and shape ideas.","Use the most appropriate approach to planning writing in order to generate, organise and shape ideas.",Make an informed choice about whether to plan before writing.
,,,Use relevant features when writing for a chosen purpose.,Use relevant features consistently for a chosen purpose to clarify meaning.,Manipulate features and conventions for a chosen purpose for an intended effect.
,,,Create content to suit a specified audience.,Create content to suit a wide range of audiences.,Manipulate content for impact on a specified audience.
,,,Write to express a personal viewpoint in fiction and nonfiction writing.,Use a consistent viewpoint in fiction and non-fiction writing.,Establish and sustain a clear and logical viewpoint throughout fiction and non-fiction writing.
,,,"Begin to develop distinctive voices, both personal and for different characters.","Develop distinctive voices, both personal and for different characters.",Write to express multiple viewpoints.
